but while the new york stock exchange did n't fall ___
some circuit breakers installed after the october N crash failed ___
the N stock specialist firms on the big board floor ___
big investment banks refused to step up to the plate ___
heavy selling of standard & poor 's 500-stock index futures ___
seven big board stocks ual amr bankamerica walt disney capital ___
once again the specialists were not able to handle the ___
<unk> james <unk> chairman of specialists henderson brothers inc. it ___
when the dollar is in a <unk> even central banks ___
speculators are calling for a degree of liquidity that is ___
many money managers and some traders had already left their ___
then in a <unk> plunge the dow jones industrials in ___
<unk> trading accelerated to N million shares a record for ___
at the end of the day N million shares were ___
the dow 's decline was second in point terms only ___
in percentage terms however the dow 's dive was the ___
shares of ual the parent of united airlines were extremely ___
wall street 's takeover-stock speculators or risk arbitragers had placed ___
at N p.m. edt came the <unk> news the big ___
on the exchange floor as soon as ual stopped trading ___
several traders could be seen shaking their heads when the ___
for weeks the market had been nervous about takeovers after ___
and N minutes after the ual trading halt came news ___
arbitragers could n't dump their ual stock but they rid ___
for example their selling caused trading halts to be declared ___
but as panic spread speculators began to sell blue-chip stocks ___
when trading was halted in philip morris the stock was ___
selling <unk> because of waves of automatic stop-loss orders which ___
most of the stock selling pressure came from wall street ___
traders said most of their major institutional investors on the ___
now at N one of the market 's post-crash reforms ___
under an agreement signed by the big board and the ___
after the trading halt in the s&p N pit in ___
as a result the link between the futures and stock ___
without the <unk> of stock-index futures the barometer of where ___
the futures halt was even <unk> by big board floor ___
this confusion effectively halted one form of program trading stock ___
in a stock-index arbitrage sell program traders buy or sell ___
when the airline information came through it <unk> every model ___
we did n't even get a chance to do the ___
the dow industrials were down N points at N p.m. ___
at N p.m. at the end of the cooling off ___
meanwhile during the the s&p trading halt s&p futures sell ___
big board chairman john j. phelan said yesterday the circuit ___
i just think it 's <unk> at this point to ___
under another post-crash system big board president richard <unk> mr. ___
he <unk> out at a high-tech <unk> center on the ___
at about N p.m. edt s&p futures resumed trading and ___
but the <unk> of s&p futures sell orders weighed on ___
at about N the s&p market <unk> to still another ___
futures traders say the s&p was <unk> that the dow ___
during this time small investors began ringing their brokers wondering ___
at prudential-bache securities inc. which is trying to cater to ___
that 's when george l. ball chairman of the prudential ___
i have a <unk> that this particular decline today is ___
it would be my <unk> to advise clients not to ___
at merrill lynch & co. the nation 's biggest brokerage ___
the release cautioned that there are significant differences between the ___
however jeffrey b. lane president of shearson lehman hutton inc. ___
and i think a lot of people will <unk> on ___
it 's going to bring the debate right back to ___
as the dow average ground to its final N loss ___
jeffrey <unk> of program trader <unk> investment group said N ___
while friday 's debacle involved mainly professional traders rather than ___
stock-index futures contracts settled at much lower prices than indexes ___
at those levels stocks are set up to be <unk> ___
but nobody knows at what level the futures and stocks ___
the <unk> between the stock and futures markets friday will ___
the big board 's mr. <unk> said our <unk> performance ___
but the exchange will look at the performance of all ___
obviously we 'll take a close look at any situation ___
see related story fed ready to <unk> big funds wsj ___
but specialists complain privately that just as in the N ___
mr. phelan said it will take another day or two ___
concerning your sept. N page-one article on prince charles and ___
it 's now the united kingdom of great britain and ___
ports of call inc. reached agreements to sell its remaining ___
the agreements bring to a total of nine the number ___
the company said a portion of the $ N million ___
earlier the company announced it would sell its aging fleet ___
a consortium of private investors operating as <unk> funding co. ___
the $ N million bid includes the assumption of an ___
the group is led by jay <unk> chief executive officer ___
mr. <unk> 's company specializes in commercial real-estate investment and ___
the assets are good but they require more money and ___
l.j. hooker based in atlanta is operating with protection from ___
its parent company hooker corp. of sydney australia is currently ___
sanford <unk> chief executive of l.j. hooker said yesterday in ___
the $ N million bid is estimated by mr. simpson ___
not included in the bid are <unk> teller or b. ___
the offer covers the massive N <unk> forest fair mall ___
the <unk> mall opened sept. N with a <unk> 's ___
other hooker properties included are a <unk> office tower in ___
the consortium was put together by <unk> <unk> the london-based ___
we do n't anticipate any problems in raising the funding ___
according to people familiar with the consortium the bid was ___
l.j. hooker was a small <unk> company based in atlanta ___
the company grew modestly until N when a majority position ___
mr. <unk> <unk> to launch an ambitious but <unk> $ ___
eventually mr. simpson and mr. <unk> had a falling out ___
since then hooker corp. has sold its interest in the ___
in addition robert <unk> chief executive of the <unk> chain ___
the merksamer chain is currently being offered for sale by ___
reached in <unk> mr. <unk> said that he believes the ___
these are n't mature assets but they have the potential ___
managed properly and with a long-term outlook these can become ___
canadian <unk> production totaled N metric tons in the week ___
the week 's total was up N N from N ___
the <unk> total was N tons up N N from ___
the treasury plans to raise $ N million in new ___
the bills will be dated oct. N and will mature ___
bids must be received by N p.m. edt thursday at ___
as small investors <unk> their mutual funds with phone calls ___
unlike the weekend before black monday the funds were n't ___
and many fund managers have built up cash levels and ___
at fidelity investments the nation 's largest fund company telephone ___
the boston firm said <unk> redemptions were running at less ___
as of yesterday afternoon the redemptions represented less than N ___
two years ago there were massive redemption levels over the ___
friday 's stock market sell-off came too late for many ___
some shareholders have held off until today because any fund ___
stock fund redemptions during the N debacle did n't begin ___
many have raised cash levels which act as a buffer ___
mario <unk> for instance holds cash positions well above N ___
windsor fund 's john <unk> and mutual series ' michael ___
even peter lynch manager of fidelity 's $ N billion ___
one reason is that after two years of monthly net ___
i 've let the money build up mr. lynch said ___
